Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
KIA,KIA Ceed 1.6 CRDi Tech,15.400 €,2020,124.000 km,Diesel,136 cv,Murcia,https://www.coches.net/kia-ceed-16-crdi-100kw-136cv-tech-5p-diesel-2020-en-murcia-70015017-covo.aspx
AUDI,AUDI Q3 Advanced 35 TDI S tronic,31.300 €,2023,74.200 km,Diesel,150 cv,Gipuzkoa,https://www.coches.net/audi-q3-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2023-en-guipuzcoa-70031116-covo.aspx
SUBARU,SUBARU crosstrek 2.0i Hybrid CVT Active,29.495 €,2025,11.004 km,Híbrido,136 cv,Sta. C. Tenerife,https://www.coches.net/subaru-crosstrek-20i-hybrid-cvt-active-5p-electrico-hibrido-2024-en-sta-c-tenerife-70042106-covo.aspx
NISSAN,NISSAN QASHQAI 1.5dCi NCONNECTA 4x2,12.499 €,2015,174.000 km,Diesel,110 cv,Alicante,https://www.coches.net/nissan-qashqai-15dci-nconnecta-4x2-5p-diesel-2015-en-alicante-70065287-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase GLS MercedesAMG GLS 63 4MATIC,49.999 €,2017,227.500 km,Gasolina,585 cv,Alicante,https://www.coches.net/mercedes-benz-clase-gls-mercedesamg-gls-63-4matic-5p-gasolina-2017-en-alicante-70112203-covo.aspx
AUDI,AUDI A3 Sedan Advanced 35 TDI S tronic,22.800 €,2021,139.000 km,Diesel,150 cv,Almería,https://www.coches.net/audi-a3-sedan-advanced-35-tdi-110kw-s-tronic-4p-diesel-2022-en-almeria-70137419-covo.aspx
CUPRA,CUPRA Formentor 1.5 eTSI Launch Edition DSG,33.900 €,2024,31.262 km,Híbrido,150 cv,Gipuzkoa,https://www.coches.net/cupra-formentor-15-etsi-110kw-launch-edition-dsg-5p-electrico-hibrido-2025-en-guipuzcoa-70148587-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase M ML 320 CDI,11.999 €,2007,262.000 km,Diesel,224 cv,Alicante,https://www.coches.net/mercedes-benz-clase-m-ml-320-cdi-5p-diesel-2006-en-alicante-70160523-covo.aspx
SUZUKI,SUZUKI SX4 S-Cross 1.4 DITC GLX Auto,17.499 €,2017,70.000 km,Gasolina,140 cv,Alicante,https://www.coches.net/suzuki-sx4-s-cross-14-ditc-glx-auto-5p-gasolina-2016-en-alicante-70160617-covo.aspx
NISSAN,NISSAN JUKE 1.2 DIGT NCONNECTA,9.999 €,2016,116.000 km,Gasolina,115 cv,Alicante,https://www.coches.net/nissan-juke-12-digt-nconnecta-5p-gasolina-2016-en-alicante-70160732-covo.aspx
